"data_as_of","year","month","st_abbrev","state","county","fips","statefips","countyfips","code2013","provisional_drug_overdose_deaths","footnote","percentage_of_records_pending_investigation","historicaldatacompletenessnote","monthendingdate","start_date","end_date"
"10/8/2023",2023,3,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","3/31/2023","1/31/2020","3/31/2023"
"10/8/2023",2021,1,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","1/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,2,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","2/28/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,3,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","3/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,4,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","4/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,5,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","5/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,6,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","6/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,7,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","7/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,8,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","8/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,9,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","9/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,10,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","10/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,11,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","11/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,12,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","12/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2022,1,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","1/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,2,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","2/28/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,3,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","3/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,4,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","4/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,5,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","5/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,6,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","6/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,7,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","7/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,8,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","8/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,9,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","9/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,10,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","10/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2021,6,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","6/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,11,"OR","Oregon","Benton",41003,41,3,4,"11","",0,"Completeness of provisional 2019 data under 90% after 6 months.","11/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,3,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","3/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2023,2,"OR","Oregon","Benton",41003,41,3,4,"11","",0,"Completeness of provisional 2019 data under 90% after 6 months.","2/28/2023","1/31/2020","3/31/2023"
"10/8/2023",2023,3,"OR","Oregon","Benton",41003,41,3,4,"12","",0,"Completeness of provisional 2019 data under 90% after 6 months.","3/31/2023","1/31/2020","3/31/2023"
"10/8/2023",2023,1,"OR","Oregon","Benton",41003,41,3,4,"13","",0,"Completeness of provisional 2019 data under 90% after 6 months.","1/31/2023","1/31/2020","3/31/2023"
"10/8/2023",2022,12,"OR","Oregon","Benton",41003,41,3,4,"14","",0,"Completeness of provisional 2019 data under 90% after 6 months.","12/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2021,7,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","7/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,8,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","8/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,4,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","4/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2020,4,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.17,"Completeness of provisional 2019 data under 90% after 6 months.","4/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2021,9,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","9/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,10,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","10/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2020,10,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.16,"Completeness of provisional 2019 data under 90% after 6 months.","10/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,9,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.16,"Completeness of provisional 2019 data under 90% after 6 months.","9/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2021,1,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","1/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2020,1,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.16,"Completeness of provisional 2019 data under 90% after 6 months.","1/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2022,5,"OR","Oregon","Benton",41003,41,3,4,"17","",0,"Completeness of provisional 2019 data under 90% after 6 months.","5/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2021,2,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","2/28/2021","1/31/2020","3/31/2023"
"10/8/2023",2020,11,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.16,"Completeness of provisional 2019 data under 90% after 6 months.","11/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2021,5,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","5/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2022,7,"OR","Oregon","Benton",41003,41,3,4,"18","",0,"Completeness of provisional 2019 data under 90% after 6 months.","7/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,4,"OR","Oregon","Benton",41003,41,3,4,"17","",0,"Completeness of provisional 2019 data under 90% after 6 months.","4/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2021,12,"OR","Oregon","Benton",41003,41,3,4,"14","",0,"Completeness of provisional 2019 data under 90% after 6 months.","12/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2022,9,"OR","Oregon","Benton",41003,41,3,4,"16","",0,"Completeness of provisional 2019 data under 90% after 6 months.","9/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2020,6,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.17,"Completeness of provisional 2019 data under 90% after 6 months.","6/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,12,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"Completeness of provisional 2019 data under 90% after 6 months.","12/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2022,11,"OR","Oregon","Benton",41003,41,3,4,"16","",0,"Completeness of provisional 2019 data under 90% after 6 months.","11/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2020,3,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.16,"Completeness of provisional 2019 data under 90% after 6 months.","3/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,2,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.16,"Completeness of provisional 2019 data under 90% after 6 months.","2/29/2020","1/31/2020","3/31/2023"
"10/8/2023",2022,6,"OR","Oregon","Benton",41003,41,3,4,"18","",0,"Completeness of provisional 2019 data under 90% after 6 months.","6/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2020,5,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.17,"Completeness of provisional 2019 data under 90% after 6 months.","5/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2022,3,"OR","Oregon","Benton",41003,41,3,4,"17","",0,"Completeness of provisional 2019 data under 90% after 6 months.","3/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,2,"OR","Oregon","Benton",41003,41,3,4,"17","",0,"Completeness of provisional 2019 data under 90% after 6 months.","2/28/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,1,"OR","Oregon","Benton",41003,41,3,4,"15","",0,"Completeness of provisional 2019 data under 90% after 6 months.","1/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2020,7,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.17,"Completeness of provisional 2019 data under 90% after 6 months.","7/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2022,8,"OR","Oregon","Benton",41003,41,3,4,"17","",0,"Completeness of provisional 2019 data under 90% after 6 months.","8/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,10,"OR","Oregon","Benton",41003,41,3,4,"16","",0,"Completeness of provisional 2019 data under 90% after 6 months.","10/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2020,8,"OR","Oregon","Benton",41003,41,3,4,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0.16,"Completeness of provisional 2019 data under 90% after 6 months.","8/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2022,7,"OR","Oregon","Clackamas",41005,41,5,2,"85","",0,"","7/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,8,"OR","Oregon","Clackamas",41005,41,5,2,"80","",0,"","8/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,9,"OR","Oregon","Clackamas",41005,41,5,2,"81","",0,"","9/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,10,"OR","Oregon","Clackamas",41005,41,5,2,"78","",0,"","10/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,11,"OR","Oregon","Clackamas",41005,41,5,2,"83","",0,"","11/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,12,"OR","Oregon","Clackamas",41005,41,5,2,"88","",0,"","12/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2023,1,"OR","Oregon","Clackamas",41005,41,5,2,"83","",0,"","1/31/2023","1/31/2020","3/31/2023"
"10/8/2023",2023,2,"OR","Oregon","Clackamas",41005,41,5,2,"83","",0,"","2/28/2023","1/31/2020","3/31/2023"
"10/8/2023",2023,3,"OR","Oregon","Clackamas",41005,41,5,2,"82","",0,"","3/31/2023","1/31/2020","3/31/2023"
"10/8/2023",2021,1,"OR","Oregon","Clackamas",41005,41,5,2,"68","",0,"","1/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,2,"OR","Oregon","Clackamas",41005,41,5,2,"69","",0,"","2/28/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,3,"OR","Oregon","Clackamas",41005,41,5,2,"71","",0,"","3/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,4,"OR","Oregon","Clackamas",41005,41,5,2,"69","",0,"","4/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,5,"OR","Oregon","Clackamas",41005,41,5,2,"70","",0,"","5/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,6,"OR","Oregon","Clackamas",41005,41,5,2,"70","",0,"","6/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,7,"OR","Oregon","Clackamas",41005,41,5,2,"69","",0,"","7/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,8,"OR","Oregon","Clackamas",41005,41,5,2,"74","",0,"","8/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,9,"OR","Oregon","Clackamas",41005,41,5,2,"75","",0,"","9/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,10,"OR","Oregon","Clackamas",41005,41,5,2,"78","",0,"","10/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,11,"OR","Oregon","Clackamas",41005,41,5,2,"77","",0,"","11/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,12,"OR","Oregon","Clackamas",41005,41,5,2,"75","",0,"","12/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2022,1,"OR","Oregon","Clackamas",41005,41,5,2,"75","",0,"","1/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,2,"OR","Oregon","Clackamas",41005,41,5,2,"77","",0,"","2/28/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,3,"OR","Oregon","Clackamas",41005,41,5,2,"79","",0,"","3/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,4,"OR","Oregon","Clackamas",41005,41,5,2,"82","",0,"","4/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,5,"OR","Oregon","Clackamas",41005,41,5,2,"83","",0,"","5/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,6,"OR","Oregon","Clackamas",41005,41,5,2,"83","",0,"","6/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2020,1,"OR","Oregon","Clackamas",41005,41,5,2,"37","",0,"","1/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,2,"OR","Oregon","Clackamas",41005,41,5,2,"38","",0,"","2/29/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,3,"OR","Oregon","Clackamas",41005,41,5,2,"39","",0,"","3/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,4,"OR","Oregon","Clackamas",41005,41,5,2,"40","",0,"","4/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,5,"OR","Oregon","Clackamas",41005,41,5,2,"45","",0,"","5/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,6,"OR","Oregon","Clackamas",41005,41,5,2,"45","",0,"","6/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,7,"OR","Oregon","Clackamas",41005,41,5,2,"48","",0,"","7/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,8,"OR","Oregon","Clackamas",41005,41,5,2,"53","",0,"","8/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,9,"OR","Oregon","Clackamas",41005,41,5,2,"51","",0,"","9/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,10,"OR","Oregon","Clackamas",41005,41,5,2,"53","",0,"","10/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,11,"OR","Oregon","Clackamas",41005,41,5,2,"54","",0,"","11/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,12,"OR","Oregon","Clackamas",41005,41,5,2,"61","",0,"","12/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,1,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","1/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,2,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","2/29/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,3,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","3/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,4,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","4/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,5,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","5/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,6,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","6/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,7,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","7/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,8,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","8/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,9,"OR","Oregon","Clatsop",41007,41,7,5,"10","",0,"","9/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,10,"OR","Oregon","Clatsop",41007,41,7,5,"11","",0,"","10/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,11,"OR","Oregon","Clatsop",41007,41,7,5,"10","",0,"","11/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,12,"OR","Oregon","Clatsop",41007,41,7,5,"10","",0,"","12/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2021,11,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","11/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,12,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","12/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,5,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","5/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,6,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","6/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,7,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","7/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,8,"OR","Oregon","Clatsop",41007,41,7,5,"11","",0,"","8/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,9,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","9/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,10,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","10/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,3,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","3/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,4,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","4/30/2021","1/31/2020","3/31/2023"
"10/8/2023",2022,1,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","1/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,2,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","2/28/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,3,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","3/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,4,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","4/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,5,"OR","Oregon","Clatsop",41007,41,7,5,"11","",0,"","5/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2023,2,"OR","Oregon","Clatsop",41007,41,7,5,"19","",0,"","2/28/2023","1/31/2020","3/31/2023"
"10/8/2023",2021,1,"OR","Oregon","Clatsop",41007,41,7,5,"10","",0,"","1/31/2021","1/31/2020","3/31/2023"
"10/8/2023",2021,2,"OR","Oregon","Clatsop",41007,41,7,5,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","2/28/2021","1/31/2020","3/31/2023"
"10/8/2023",2022,6,"OR","Oregon","Clatsop",41007,41,7,5,"13","",0,"","6/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,7,"OR","Oregon","Clatsop",41007,41,7,5,"15","",0,"","7/31/2022","1/31/2020","3/31/2023"
